,brier_elo,brier_eff,brier_lgbm_raw,brier_lgbm_cal,n,seasons
M,0.19073684361650914,0.19175536205038118,0.19124218931000211,0.18774735906940612,1449,22
W,0.14457817428487058,0.20886824698015705,0.14536660893938966,0.14074434372382377,1402,22
